"SDFB Person ID","ODNB ID","Display Name","Prefix","First Name","Last Name","Suffix","Title","All Search Names","Gender","Historical Significance","Birth Year Type","Extant Birth Year","Alternate Birth Year","Death Year Type","Extant Death Year","Alternate Death Year","Group List","level","military","art","law","politics"
"10005545",12337,"Edward Harley",NA,"Edward","Harley","",NA,"Edward Harley, Edward, Edward Harley","male","book collector and patron of the arts","IN","1689","1689","IN","1741","1741","[]","No Title",0,1,0,0
"10011001",63020,"Samuel Shepheard",NA,"Samuel","Shepheard","",NA,"Samuel Shepheard, Samuel, Samuel Shepheard","male","politician","IN","1676","1676","IN","1748","1748","[]","No Title",0,0,0,1
"10007745",17372,"Hugh MacCaghwell",NA,"Hugh","MacCaghwell","","church","Hugh MacCaghwell, Hugh, Hugh MacCaghwell","male","Roman Catholic archbishop of Armagh and theologian","CA","1571","1571","IN","1626","1626","[]","Religion",0,0,0,0
"10054762",NA,"Jane Rimer",NA,"Jane","Rimer","",NA,"Jane, Jane Rimer","female","Midwife to Alice Thornton","BF","1642","","CA","1690","","[""""Midwives""""]","No Title",0,0,0,0
"10011068",25480,"Samuel Shuckford",NA,"Samuel","Shuckford","","church","Samuel Shuckford, Samuel, Samuel Shuckford","male","Church of England clergyman and author","IN","1693","1694","IN","1754","1754","[]","Religion",0,1,0,0
"10003470",7566,"Robert Devereux",NA,"Robert","Devereux","","Third Earl of Essex","Robert Devereux, Robert, Robert Devereux, Essex","male","parliamentarian army officer","IN","1591","1591","IN","1646","1646","[""""Earl of Essex's army""""]","Noble",1,0,0,1
"10054764",NA,"Lady Anne Pierrepont","Lady","Anne","Pierrepont","","Lady","Lady Anne, Lady Anne Pierrepont, Lady Pierrepont, Anne, Anne Pierrepont","female","","BF","1699","","IN","1735","","[]","Noble",0,0,0,0
"10054738",NA,"Lady Elizabeth Russell","Lady","Elizabeth","Russell","","Lady","Lady Elizabeth, Lady Elizabeth Russell, Lady Russell, Elizabeth, Elizabeth Russell","female","","BF","1699","","IN","1736","","[]","Noble",0,0,0,0
"10011606",26584,"Leonard Stopes",NA,"Leonard","Stopes","","church","Leonard Stopes, Leonard, Leonard Stopes","male","Roman Catholic priest","AF","1498",NA,"CA","1608","1608","[]","Religion",0,0,0,0
"10003882",8508,"William Edmundson",NA,"William","Edmundson","",NA,"William Edmundson, William, William Edmundson","male","Quaker leader","IN","1627","1627","IN","1712","1712","[]","No Title",0,0,0,0
"10012046",27644,"John Toy",NA,"John","Toy","","church","John Toy, John, John Toy","male","Church of England clergyman and headmaster","IN","1608","1611","IN","1663","1663","[]","Religion",0,0,0,0
"10011794",26957,"Christopher Tancred",NA,"Christopher","Tancred","",NA,"Christopher Tancred, Christopher, Christopher Tancred","male","benefactor","IN","1689","1689","IN","1754","1754","[]","No Title",0,1,0,0
"10012032",27604,"John Towneley",NA,"John","Towneley","",NA,"John Towneley, John, John Towneley","male","translator","IN","1697","1697","IN","1782","1782","[]","No Title",0,0,0,0
"10008673",19700,"Robert Mylne",NA,"Robert","Mylne","",NA,"Robert Mylne, Robert, Robert Mylne","male","antiquary","CA","1643","1643","IN","1747","1747","[]","No Title",0,0,0,0
"10012291",71599,"Charles Marie de Veil",NA,"Charles Marie de","Veil","",NA,"Charles Marie de Veil, Charles Marie de, Charles Marie de Veil","male","religious convert and biblical commentator","IN","1630","1630","IN","1685","1691","[]","No Title",0,0,0,0
"10008137",18438,"John Maynard",NA,"John","Maynard","","church","John Maynard, John, John Maynard","male","clergyman and ejected minister","IN","1600","1600","IN","1665","1665","[]","Religion",0,0,0,0
"10012064",24748,"Lorenzo Guglielmo Traversagni",NA,"Lorenzo Guglielmo","Traversagni","",NA,"Lorenzo Guglielmo Traversagni, Lorenzo Guglielmo, Lorenzo Guglielmo Traversagni","male","Franciscan friar and humanist scholar","IN","1425","1425","IN","1503","1503","[]","No Title",0,0,0,0
"10012139",27829,"Hugh Turford",NA,"Hugh","Turford","",NA,"Hugh Turford, Hugh, Hugh Turford","male","religious writer","AF","1603",NA,"IN","1713","1713","[]","No Title",0,1,0,0
"10012830",70940,"Nathaniel Whiting",NA,"Nathaniel","Whiting","","church","Nathaniel Whiting, Nathaniel, Nathaniel Whiting","male","satirist and nonconformist minister","IN","1611","1612","IN","1682","1682","[]","Religion",0,0,0,0
"10003884",8480,"David Edwardes",NA,"David","Edwardes","",NA,"David Edwardes, David, David Edwardes","male","physician","CA","1502","1502","IN","1542","1542","[]","No Title",0,0,0,0
"10051024",NA,"Margery Wentworth",NA,"Margery","Wentworth","",NA,"Margaret, Margaret Wentworth","female","","AF/IN","1478","","IN","1588","","[]","No Title",0,0,0,0
"10010419",24006,"Woodes Rogers",NA,"Woodes","Rogers","",NA,"Woodes Rogers, Woodes, Woodes Rogers","male","privateer and colonial governor","IN","1679","1679","IN","1732","1732","[]","No Title",0,0,0,1
"10012838",69347,"Susannah Whitrowe",NA,"Susannah","Whitrowe","",NA,"Susannah Whitrowe, Susannah, Susannah Whitrowe","female","","IN","1662","1662","IN","1677","1677","[]","No Title",0,0,0,0
"10013249",30253,"Anthony Young",NA,"Anthony","Young","",NA,"Anthony Young, Anthony, Anthony Young","male","organist and composer","IN","1683","1683","IN","1747","1747","[]","No Title",0,1,0,0
"10051321",NA,"Mary Parker",NA,"Mary","Parker","",NA,"Mary, Mary Parker","female","","AF/IN","1496","","AF/IN","1606","","[]","No Title",0,0,0,0
"10003223",7030,"Thomas Dallam",NA,"Thomas","Dallam","",NA,"Thomas Dallam, Thomas, Thomas Dallam","male","organ builder and diarist","IN","1575","1575","AF/IN","1630","1630","[]","No Title",0,1,0,0
"10012843",77039,"Anne Whittle",NA,"Anne","Whittle","",NA,"Anne Whittle, Anne Chattox, Anne, Anne Whittle","female","","IN","1532","1532","IN","1612","1612","[]","No Title",0,0,0,0
"10012860",71115,"Michael Wigglesworth",NA,"Michael","Wigglesworth","","church","Michael Wigglesworth, Michael, Michael Wigglesworth","male","poet and minister","IN","1631","1631","IN","1705","1705","[]","Religion",0,1,0,0
"10013210",71685,"Peter Wynne",NA,"Peter","Wynne","",NA,"Peter Wynne, Peter, Peter Wynne","male","soldier and colonist in Virginia","AF","1499",NA,"IN","1609","1609","[]","No Title",1,0,0,0
"10009768",22387,"John Plough",NA,"John","Plough","","church","John Plough, John, John Plough","male","religious controversialist and Church of England clergyman","AF","1452",NA,"IN","1562","1562","[]","Religion",0,0,0,0
"10002179",4854,"John Case",NA,"John","Case","",NA,"John Case, John, John Case","male","astrologer and quack","IN","1660","1660","IN","1700","1700","[]","No Title",0,0,0,0
"10000009",1,"Jacques Abbadie",NA,"Jacques","Abbadie","","church","Jacques Abbadie, James Abbadie, Jacques, Jacques Abbadie","male","Church of Ireland dean of Killaloe","CA","1654","1654","IN","1727","1727","[]","Religion",0,0,0,0
"10050006",NA,"Bridget of York",NA,"Bridget","Plantagenet","of York",NA,"Bridget of York, Bridget Plantagenet, Bridget Plantagenet of York","female","nun and youngest daughter of Edward IV","IN","1480","","IN","1513","","[]","No Title",0,0,0,0
"10002385",5267,"John Cheyney",NA,"John","Cheyney","","church","John Cheyney, John, John Cheyney","male","Church of England clergyman","IN","1674","1674","IN","1694","1694","[]","Religion",0,0,0,0
"10051322",NA,"Petronella Samyne",NA,"Petronella","Samyne","",NA,"Petronella, Petronella Samyne","female","","AF/IN","1496","","CA","1606","1606","[]","No Title",0,0,0,0
"10006035",37557,"Daniel Hoechstetter",NA,"Daniel","Hoechstetter","",NA,"Daniel Hoechstetter, Daniel, Daniel Hoechstetter","male","mining promoter","IN","1525","1525","IN","1581","1581","[]","No Title",0,0,0,0
"10051520",NA,"Jane Guildford",NA,"Jane","Guildford","",NA,"Jane, Jane Guildford","female","","IN","1509","","IN","1555","","[]","No Title",0,0,0,0
"10003885",8530,"Arthur Edwards",NA,"Arthur","Edwards","",NA,"Arthur Edwards, Arthur, Arthur Edwards","male","benefactor","AF","1633",NA,"IN","1743","1743","[]","No Title",0,1,0,0
"10012580",63671,"Edward Waters",NA,"Edward","Waters","",NA,"Edward Waters, Edward, Edward Waters","male","printer and bookseller","AF","1641",NA,"IN","1751","1751","[]","No Title",0,0,0,0
"10013002",29747,"Sir Francis Winnington","Sir","Francis","Winnington","","Sir","Francis Winnington, Sir Francis, Sir Francis Winnington, Sir Winnington, Francis, Francis Winnington","male","lawyer and politician","IN","1634","1634","IN","1700","1700","[]","Significant",0,0,1,1
"10004119",9130,"Francis Fane",NA,"Francis","Fane","",NA,"Francis Fane, Francis, Francis Fane","male","landowner","IN","1583","1584","IN","1629","1629","[]","No Title",0,0,0,0
